# Accelerometer Values
# filename:  default.txt
# Saving start time: Sat Sep 27 23:38:12 EDT 2014
# sensor resolution: 5.950928E-4m/s^2
# Sensorvendor: InvenSense, name: MPU6515 Accelerometer, type: 1,version : 1, range 39.226593
# X value, Y value, Z value, time diff in ms
0.231 -0.03 0.054 5
-0.457 -0.351 0.353 5
-0.551 0.107 -0.093 5
1.402 0.669 -0.604 5
-1.535 -0.734 0.182 5
1.355 0.058 0.123 4
-1.22 0.23 0.286 5
1.539 0.096 -0.029 5
-1.371 -0.431 0.085 5
-0.298 -0.123 -0.536 5
1.629 0.756 0.233 5
1.402 0.154 0.276 5
-2.562 -0.949 -0.278 5
-2.978 -0.477 -0.263 5
-0.433 0.527 0.052 5
2.266 0.745 0.119 5
3.704 0.576 -0.061 5
3.978 0.297 0.026 5
3.336 0.066 -0.137 5
1.754 -0.169 -0.072 5
-1.041 -0.572 0.325 5
-3.737 -0.786 -0.088 5
-2.99 -0.226 -0.242 5
0.948 0.659 -0.053 5
1.54 0.484 0.294 5
-2.345 -0.632 -0.024 5
-0.445 -0.096 -0.152 5
0.654 0.374 0.137 4
-1.452 -0.351 -0.065 6
0.852 0.191 -0.035 4
-1.713 -0.133 0.246 5
1.467 0.185 -0.381 5
-2.053 -0.222 0.391 5
1.706 0.236 -0.32 5
-2.104 -0.251 0.405 5
1.576 0.308 -0.32 5
-1.288 -0.176 0.195 5
0.189 -0.162 0.064 5
0.575 0.633 -0.348 5
-1.345 -0.771 0.386 5
0.789 0.357 -0.153 5
0.17 0.506 -0.24 5
-1.043 -0.883 0.415 5
0.51 0.246 -0.179 5
0.412 0.703 -0.304 5
-0.547 -0.669 0.194 5
-0.422 -0.482 0.244 5
0.2 0.709 -0.131 5
0.351 0.171 -0.264 5
-0.182 -0.627 -0.002 5
-0.337 -0.069 0.394 4
-0.224 0.301 0.327 5
0.078 -0.032 -0.418 5
0.394 -0.04 -0.694 5
0.041 0.064 0.264 5
-0.328 -0.038 0.773 5
-0.124 -0.13 0.203 5
0.016 -0.055 -0.369 5
0.083 0.194 -0.321 5
0.049 0.204 -0.148 5
0.02 -0.053 -0.071 5
-0.047 -0.178 0.25 5
-0.119 -0.051 0.422 5
0.039 0.111 0.093 5
0.108 0.075 -0.19 5
0.007 0.035 -0.276 5
-0.052 0.0 0.032 5
-0.054 -0.03 0.14 5
-0.018 -0.082 0.085 5
0.053 0.013 0.083 5
0.076 0.103 0.03 5
0.028 0.014 -0.05 5
-0.062 -0.081 -0.03 4
-0.09 -0.075 -0.042 5
-0.034 0.009 -0.063 5
0.056 0.019 -0.08 5
0.068 -0.034 -0.036 5
0.014 -0.013 0.029 5
-0.027 -0.029 0.129 5
-0.076 -0.015 -0.037 5
0.001 -0.009 -0.126 5
-0.011 0.006 -0.07 5
0.007 0.007 -0.005 5
0.012 -0.042 0.061 5
-0.027 -0.038 0.067 5
0.012 -0.019 0.089 5
0.021 0.018 -0.08 5
-0.008 0.029 -0.072 5
-0.043 0.046 0.001 5
-0.037 0.005 0.011 5
-0.012 -0.006 0.051 5
-0.011 0.041 -0.013 5
0.005 0.009 0.002 5
0.013 0.006 0.0 5
-0.007 0.0 -0.027 5
0.016 0.033 -0.035 4
-0.004 -0.003 0.004 5
0.019 -0.012 0.046 5
0.058 0.008 0.069 5
0.022 0.0 0.002 5
0.007 0.009 -0.087 5
-0.008 -0.033 -0.104 5
-0.035 -0.019 -0.063 5
-0.001 0.012 0.028 5
0.009 0.002 0.136 5
0.025 -0.047 0.026 5
0.042 -0.029 0.009 5
-0.028 -0.022 -0.004 5
-0.012 0.02 -0.124 5
0.0 -0.035 -0.075 5
0.007 -0.001 -0.039 5
0.002 -0.042 0.071 5
0.006 -0.016 0.181 5
0.025 -0.01 0.039 5
0.001 -0.011 0.007 5
0.009 -0.006 -0.162 5
-0.033 0.02 -0.109 5
-0.045 -0.005 -0.025 4
-0.03 0.018 0.139 5
0.036 0.036 0.116 5
0.061 0.006 0.015 5
0.031 0.023 -0.078 5
-0.02 0.005 -0.031 5
-0.063 0.033 -0.015 5
-0.048 0.053 0.097 5
0.039 0.026 0.057 5
0.031 0.015 0.045 5
0.026 -0.048 0.0 5
-0.032 -0.03 0.006 5
-0.035 0.034 -0.088 5
-0.012 -0.011 -0.073 5
0.052 0.019 -0.005 5
0.009 0.013 0.054 5
0.02 -0.024 0.156 5
-0.028 0.001 0.104 5
0.013 -0.005 -0.071 5
0.011 -0.025 -0.134 5
-0.027 -0.006 -0.074 5
-0.018 -0.005 0.014 5
0.004 -0.013 0.092 4
0.046 0.011 0.081 5
0.025 0.003 -0.021 5
0.014 -0.013 -0.061 5
-0.043 0.004 -0.113 5
-0.036 0.012 -0.035 5
-0.009 -0.031 0.021 5
-0.006 0.023 0.057 5
0.043 0.0 0.081 5
0.007 -0.03 0.018 5
-0.025 0.0 0.018 5
-0.021 0.011 -0.064 5
0.008 0.044 -0.079 5
-0.004 -0.009 -0.069 5
-0.006 0.002 0.003 5
-0.02 0.025 0.101 5
0.015 -0.032 0.102 5
0.013 -0.012 0.01 5
0.025 0.027 -0.063 5
-0.017 0.003 -0.048 5
-0.013 0.015 -0.039 5
0.006 0.046 -0.02 5
-0.002 0.022 0.003 4
0.042 -0.007 0.017 5
0.01 0.018 -0.039 5
-0.039 0.008 0.005 5
-0.042 -0.005 0.004 5
-0.046 -0.03 -0.002 5
0.026 -0.005 0.077 5
0.021 -0.009 0.054 5
0.0 0.006 0.081 5
0.011 0.005 -0.031 5
-0.002 0.007 0.011 5
