# Accelerometer Values
# filename:  default.txt
# Saving start time: Sat Sep 27 23:25:10 EDT 2014
# sensor resolution: 5.950928E-4m/s^2
# Sensorvendor: InvenSense, name: MPU6515 Accelerometer, type: 1,version : 1, range 39.226593
# X value, Y value, Z value, time diff in ms
0.071 -0.205 0.645 20
-0.055 -0.317 0.499 20
0.016 -0.074 0.115 20
-0.133 0.166 0.018 20
-0.072 0.021 0.521 20
-0.151 0.135 0.041 19
-0.093 0.005 0.324 20
-0.03 0.009 0.041 20
-0.104 -0.01 0.126 20
-0.04 0.02 0.101 20
-0.036 0.02 0.099 20
-0.034 -0.009 0.089 20
-0.012 -0.023 0.023 19
-0.004 0.013 0.168 20
-0.036 0.001 0.051 20
-0.051 0.026 0.005 20
-0.044 0.026 0.013 20
-0.061 0.012 0.05 20
-0.057 0.024 0.009 20
-0.062 0.0 0.076 19
-0.017 0.002 0.109 20
0.059 0.021 0.058 20
0.023 -0.014 0.002 20
0.046 0.027 0.032 20
0.005 0.009 0.04 20
-0.027 0.004 -0.008 20
-0.033 -0.002 0.028 19
-0.051 0.012 0.049 20
-0.046 0.013 0.031 20
-0.047 0.003 -0.036 20
0.012 0.014 0.066 20
0.002 -0.032 0.04 20
0.019 -0.024 -0.038 19
0.013 0.024 0.067 20
0.074 -0.024 -0.028 20
-0.016 -0.018 0.012 20
0.01 -0.02 0.009 20
-0.022 0.118 -0.038 20
0.765 -0.146 0.104 20
1.516 -0.097 -0.67 20
5.612 3.186 -0.586 19
5.831 2.37 0.181 20
-8.406 -4.01 0.54 20
-6.124 -3.851 1.192 20
0.405 1.76 -0.029 20
-1.274 0.061 0.858 20
0.511 -0.019 -0.05 20
0.108 -0.399 0.089 19
0.207 -0.2 -0.054 20
0.28 -0.007 -0.305 20
0.064 0.045 0.153 40
0.008 0.248 -0.301 20
-0.013 0.075 -0.005 20
0.092 0.132 -0.154 19
0.023 0.061 -0.118 20
0.031 0.072 -0.101 20
0.062 0.071 -0.081 20
-0.024 0.045 -0.1 20
0.035 0.076 -0.065 20
0.034 0.056 0.014 19
0.009 0.048 -0.1 20
0.044 -0.003 -0.037 20
0.008 -0.005 0.003 20
-0.024 0.044 -0.072 20
0.022 0.046 0.014 19
0.063 0.056 0.008 21
0.009 0.044 -0.084 20
0.0 0.008 -0.005 19
0.015 -0.016 -0.032 20
0.045 0.019 -0.082 20
0.009 0.007 0.015 20
0.044 0.038 -0.037 20
-0.009 0.032 -0.038 20
0.004 0.005 0.034 19
0.014 0.028 0.013 20
-0.031 0.006 -0.006 20
0.02 -0.021 0.023 20
-0.019 0.001 -0.015 20
-0.009 0.042 -0.024 20
-0.012 0.02 -0.006 20
-0.013 0.01 0.006 19
0.0 0.013 0.033 20
0.082 -0.022 0.06 20
0.33 0.106 -0.037 20
-1.3 0.325 -0.068 20
4.721 3.651 -0.393 20
6.766 3.194 -0.763 20
-2.299 -1.936 -1.702 20
-5.107 -1.987 1.846 19
-3.975 -3.373 0.791 20
-0.987 -1.504 1.573 20
0.368 -0.48 0.632 20
-0.219 0.405 -0.527 20
0.184 0.566 -0.352 20
-0.016 0.344 -0.107 19
0.006 0.072 0.237 20
0.177 0.084 -0.191 20
0.161 0.028 -0.112 20
0.068 -0.048 -0.182 20
0.168 0.065 -0.052 20
0.094 0.015 -0.011 20
0.037 0.106 -0.168 19
0.076 0.022 0.024 20
0.09 0.05 -0.104 20
0.014 0.069 -0.064 20
0.054 0.04 -0.012 20
0.068 0.002 -0.032 20
0.014 -0.006 -0.021 20
0.057 0.032 -0.083 20
0.017 0.027 0.036 19
0.007 0.001 -0.063 20
0.008 0.02 0.037 20
0.016 0.005 -0.033 20
0.036 -0.003 -0.034 20
0.006 0.009 -0.015 20
0.01 0.044 -0.039 20
0.017 0.012 -0.029 19
-0.005 0.007 -0.045 20
-0.002 -0.021 -0.002 20
0.023 0.019 -0.021 20
0.055 0.01 -0.032 19
0.017 0.007 -0.014 21
0.013 -0.02 -0.064 20
0.018 0.021 0.004 19
0.01 -0.012 -0.002 20
0.013 0.01 0.01 20
0.001 -0.012 0.046 20
-0.009 0.025 -0.035 20
0.017 0.005 -0.021 20
-0.05 -0.009 0.014 20
-0.476 0.53 -0.265 19
-1.711 -0.124 1.091 20
-1.324 -0.919 -0.311 20
-5.442 -3.181 -1.068 20
4.534 2.663 -0.209 20
6.611 3.783 -1.454 19
-3.109 -3.669 1.505 21
-0.373 -1.498 1.524 19
0.874 0.956 -0.706 20
0.146 -0.325 0.086 20
0.069 -0.162 0.112 20
0.278 0.063 -0.044 20
0.088 0.241 -0.395 20
-0.004 0.071 0.352 20
-0.018 0.238 -0.271 19
-0.064 0.117 0.243 20
0.034 0.138 -0.099 20
-0.071 0.128 0.06 20
0.07 0.126 -0.012 20
0.016 0.101 -0.034 20
-0.049 0.05 0.005 20
0.002 0.088 -0.083 19
-0.01 0.036 0.047 20
0.018 0.056 -0.055 20
-0.005 0.084 -0.001 20
0.034 0.055 -0.024 20
-0.014 0.047 0.031 20
-0.006 0.025 -0.012 20
-0.003 0.037 0.033 19
0.011 -0.004 -0.025 20
0.016 0.026 0.022 20
0.04 -0.012 0.065 20
-0.018 0.037 -0.039 20
-0.001 0.04 0.028 20
-0.008 0.04 -0.015 20
-0.022 -0.006 0.0 19
0.007 0.049 0.001 20
0.024 0.004 -0.024 20
0.004 0.042 -0.011 20
-0.006 0.048 -0.018 20
0.006 0.02 -0.021 20
-0.03 -0.015 -0.008 20
-0.01 0.002 0.018 19
0.003 -0.008 -0.032 20
